,No
retinal vasculitis,3246
coronary artery embolism,3247
organising pneumonia,3248
surgical procedure repeated,3249
reiter's syndrome,3250
hepatitis infectious mononucleosis,3251
myelitis transverse,3252
vasculitis cerebral,3253
staphylococcal osteomyelitis,3254
viral load,3255
exfoliative rash,3256
arterial rupture,3257
foetal death,3258
ureteral polyp,3259
neuropsychiatric lupus,3260
patent ductus arteriosis,3261
throat tightness,3262
metastases to skin,3263
skin ulcer,3264
tuberculoma of central nervous system,3265
epstein-barr virus test positive,3266
thyroiditis acute,3267
stent removal,3268
bacteroides infection,3269
injection site injury,3270
coronary artery dilatation,3271
spinal myelogram,3272
eyelid ptosis congenital,3273
respiratory tract oedema,3274
asthenopia,3275
breast necrosis,3276
pneumobilia,3277
amyloidoma,3278
therapeutic product ineffective,3279
lung squamous cell carcinoma stage iii,3280
application site swelling,3281
coombs direct test,3282
microtia,3283
double ureter,3284
intracranial injury,3285
post procedural nausea,3286
haemoconcentration,3287
painful response to normal stimuli,3288
feeding disorder of infancy or early childhood,3289
antiviral drug level above therapeutic,3290
addison's disease,3291
renal injury,3292
exomphalos,3293
disinhibition,3294
muir-torre syndrome,3295
sjogrens syndrome,3296
hypotony of eye,3297
metastases to liver,3298
abdominal cavity drainage,3299
parathyroidectomy,3300
platelet aggregation inhibition,3301
eczema herpeticum,3302
fluid replacement,3303
lactate pyruvate ratio increased,3304
lumbar puncture abnormal,3305
breast atrophy,3306
meningoencephalitis bacterial,3307
abdominal pain lower,3308
large intestinal haemorrhage,3309
oral discharge,3310
irritability,3311
cardiac infection,3312
kussmaul respiration,3313
female orgasmic disorder,3314
dermatitis medicamentosa,3315
hyperosmolar state,3316
cyst rupture,3317
cervical gland tuberculosis,3318
tracheal ulcer,3319
coarctation of the aorta,3320
suicidal ideation,3321
neoplasm of appendix,3322
aortic valve sclerosis,3323
arterial pressure nos increased,3324
derealisation,3325
wound treatment,3326
chloropsia,3327
feeding problem in newborn,3328
poor personal hygiene,3329
abortion of ectopic pregnancy,3330
staphylococcal infection,3331
coma hepatic,3332
faecaluria,3333
bladder catheter temporary,3334
blood cholesterol increased,3335
meningitis enteroviral,3336
neuromyelitis optica,3337
cystatin c increased,3338
antidepressant drug clearance increased,3339
hepatojugular reflux,3340
rhesus antibodies positive,3341
cerebellar hypoplasia,3342
hypoaesthesia,3343
hepatic trauma,3344
thrombotic microangiopathy,3345
vasculitic rash,3346
instillation site erythema,3347
crystalluria,3348
bile duct exploration,3349
cervix cancer metastatic,3350
kidney fibrosis,3351
diabetic foot infection,3352
congenital hiatus hernia,3353
ischaemic hepatitis,3354
cardiac discomfort,3355
end-tidal co2 decreased,3356
syphilis test,3357
hemicephalalgia,3358
nuclear magnetic resonance imaging brain abnormal,3359
pleural fistula,3360
birth control,3361
asplenia,3362
abdominal panniculectomy,3363
scan brain,3364
pyeloplasty,3365
eschar,3366
aneurysm repair,3367
femoral artery embolism,3368
gram stain positive,3369
sebaceous cyst excision,3370
pelvic neoplasm,3371
activated partial thromboplastin time abnormal,3372
blood bilirubin increased,3373
injection site bruising,3374
chordee,3375
gum neoplasm malignant stage unspecified,3376
aggression,3377
parasomnia,3378
immobilisation prolonged,3379
skin disorder,3380
dysacusis,3381
aids dementia complex,3382
renal hypertrophy,3383
intravascular haemolysis,3384
autoimmune inner ear disease,3385
milk allergy,3386
actinomycosis,3387
presbyopia,3388
volume blood increased,3389
gastrointestinal amyloidosis,3390
aeromona infection,3391
epiglottic oedema,3392
ketonuria,3393
tryptase increased,3394
helminthic infection,3395
leukodystrophy,3396
hepatic haematoma,3397
splint application,3398
colitis pseudomembranous,3399
body fat disorder,3400
malformation venous,3401
blood galactose increased,3402
gallbladder oedema,3403
blood thyroid stimulating hormone abnormal,3404
neurocysticercosis,3405
foot deformity,3406
jejunostomy,3407
lipoedema,3408
subconjunctival cyst,3409
paraneoplastic cerebellar degeneration,3410
pulmonary bulla,3411
cranioplasty,3412
menarche,3413
sigmoiditis,3414
haemarthrosis,3415
glucose tolerance decreased,3416
generalised oedema,3417
juvenile idiopathic arthritis,3418
coronary revascularisation,3419
locked-in syndrome,3420
blepharitis,3421
glycogen storage disease type i,3422
scedosporium infection,3423
head banging,3424
oral torus,3425
terminal state,3426
opticokinetic nystagmus tests abnormal,3427
factitious disorder,3428
metatarsal excision,3429
miliary pneumonia,3430
insomnia,3431
retinal pigmentation,3432
pharyngeal haemorrhage,3433
polyneuropathy idiopathic progressive,3434
herpes dermatitis,3435
splenic cyst,3436
anorgasmia,3437
leg crushing,3438
thalamic infarction,3439
reticulin increased,3440
traumatic intracranial haemorrhage,3441
keratosis pilaris,3442
acne infantile,3443
cerebral calcification,3444
madarosis,3445
electrophoresis protein abnormal,3446
benign mesothelioma,3447
bradyphrenia,3448
hip deformity,3449
acoustic neuritis,3450
benign congenital hypotonia,3451
allergy to arthropod sting,3452
joint stabilisation,3453
fundoscopy abnormal,3454
dyspnoea at rest,3455
vitamin b 12 deficiency,3456
diverticulum,3457
facial flushing,3458
intracranial tumour haemorrhage,3459
paraproteinaemia,3460
alveolar soft part sarcoma,3461
sarcoma,3462
small cell carcinoma,3463
glomerulonephritis chronic,3464
corrective lens user,3465
sphenoid sinus operation,3466
streptococcal abscess,3467
pelvic fibrosis,3468
gynaecomastia,3469
factor ii deficiency,3470
gait disturbance,3471
anaemia neonatal,3472
smoker,3473
csf protein increased,3474
cervical leukoplakia,3475
choledocholithotomy,3476
malignant mediastinal neoplasm,3477
corneal graft rejection,3478
blood thromboplastin,3479
mycobacterium kansasii infection,3480
peroneal nerve injury,3481
acquired macrocephaly,3482
naevus flammeus,3483
flank pain,3484
dizziness postural,3485
dysplastic naevus syndrome,3486
subdiaphragmatic abscess,3487
cholesterol granuloma,3488
right heart failure,3489
"schizophrenia, paranoid type",3490
meningitis haemophilus,3491
foetal anticonvulsant syndrome,3492
injection site inflammation,3493
vulvovaginal pain,3494
vulvovaginal burning sensation,3495
pancreatectomy,3496
blood glucose decreased,3497
corneal defect,3498
breast cancer stage iii,3499
amniotic fluid volume decreased,3500
lymphadenopathy,3501
occult blood,3502
facial palsy,3503
acute generalised exanthematous pustulosis,3504
left atrial dilatation,3505
external ear pain,3506
abdominal wall haematoma,3507
complications of transplanted kidney,3508
illusion,3509
adjustment disorder,3510
anisocoria,3511
apraxia,3512
haemorrhage coronary artery,3513
dihydrotestosterone increased,3514
self esteem inflated,3515
testicular cancer metastatic,3516
multiple endocrine adenomatosis,3517
hypoplastic right heart syndrome,3518
pelvic haemorrhage,3519
hair metal test abnormal,3520
abstains from alcohol,3521
disseminated intravascular coagulation,3522
pulmonary hypoplasia,3523
blood testosterone decreased,3524
cutaneous candidiasis,3525
wound healing normal,3526
creatine urine,3527
ovarian abscess,3528
psychogenic pain disorder,3529
blood creatine phosphokinase mb increased,3530
trousseau's syndrome,3531
constipation,3532
vascular dementia,3533
anaemias haemolytic immune,3534
blood lactate dehydrogenase decreased,3535
oral lichen planus,3536
periumbilical abscess,3537
skin induration,3538
monocyte count abnormal,3539
vein wall hypertrophy,3540
weight decrease neonatal,3541
blood beryllium,3542
blood calcitonin decreased,3543
abnormal vision,3544
cns ventriculitis,3545
tongue exfoliation,3546
laryngeal web,3547
musculoskeletal discomfort,3548
small intestinal perforation,3549
salmonella bacteraemia,3550
feeding disorder neonatal,3551
immunoglobulins decreased,3552
light chain disease,3553
peristalsis visible,3554
anticonvulsant drug level above therapeutic,3555
calcific deposits removal,3556
myeloid leukaemia,3557
pulmonary microemboli,3558
hepatic displacement,3559
basal ganglia haemorrhage,3560
middle lobe syndrome,3561
stroke volume increased,3562
application site papules,3563
lymphocyte count decreased,3564
disease of liver,3565
acquired epileptic aphasia,3566
autonomic instability,3567
anaplastic choroid plexus papilloma,3568
dissociation,3569
comminuted fracture,3570
retrograde amnesia,3571
impaired self-care,3572
neurosensory hypoacusis,3573
oculoauriculovertebral dysplasia,3574
multi-organ disorder,3575
herpes zoster ophthalmic,3576
skin mass,3577
application site atrophy,3578
application site paraesthesia,3579
tension,3580
impatience,3581
bladder cancer stage ii,3582
injection site dryness,3583
arteriogram coronary abnormal,3584
euthyroid sick syndrome,3585
pneumonia staphylococcal,3586
aortic embolus,3587
amino acid level increased,3588
zinc sulphate turbidity increased,3589
pleurisy,3590
panniculitis,3591
intracranial haematoma,3592
urea urine increased,3593
compartment syndrome,3594
papillophlebitis,3595
central-alveolar hypoventilation,3596
carcinoma of the colon,3597
foetal malpresentation,3598
intracranial venous sinus thrombosis,3599
limb crushing injury,3600
chronic myeloid leukaemia,3601
rash maculo-papular,3602
nail disorder,3603
pleurisy viral,3604
rhinolaryngitis,3605
deformity thorax,3606
panic reaction,3607
glaucomatocyclitic crises,3608
tourette's disorder,3609
panic attack,3610
bacteria urine,3611
viral labyrinthitis,3612
diabetic retinal oedema,3613
hiatus hernia,3614
inguinal mass,3615
epidural abscess,3616
fallopian tube cyst,3617
fasciotomy,3618
biliary tract operation,3619
emotional disorder,3620
bladder hypertrophy,3621
eye infection staphylococcal,3622
cytolytic hepatitis,3623
neurodegenerative disorder,3624
anti-neutrophil cytoplasmic antibody positive vasculitis,3625
arteriovenous fistula thrombosis,3626
partial lipodystrophy,3627
superficial thrombophlebitis,3628
pharyngeal polyp,3629
tumour embolism,3630
apert's syndrome,3631
granulocytes maturation arrest,3632
skin fragility,3633
mucosal ulceration,3634
uraemic neuropathy,3635
diverticulum oesophageal,3636
geotrichum infection,3637
peritoneal disorder,3638
malignant melanoma stage i,3639
angiotensin converting enzyme decreased,3640
foetal heart rate deceleration,3641
grimacing,3642
gardnerella infection,3643
fungus sputum test positive,3644
miliaria,3645
nail bed inflammation,3646
application site urticaria,3647
fibrinolysis,3648
tonic convulsion,3649
aids encephalopathy,3650
hepatitis a,3651
duodenal ulcer,3652
benign renal neoplasm,3653
muscular dystrophy,3654
idiopathic neutropenia,3655
selective iga immunodeficiency,3656
hordeolum,3657
stress at work,3658
withdrawal of life support,3659
pedal pulse decreased,3660
abdominal wall haemorrhage,3661
thyroid nodule removal,3662
cardiopulmonary bypass,3663
cytomegalovirus test,3664
spinal cord infarction,3665
glossitis,3666
cardiac valve sclerosis,3667
application site pustules,3668
macule,3669
precocious puberty,3670
ear congestion,3671
pancreatic calcification,3672
spinal haematoma,3673
orthosis user,3674
hepatic calcification,3675
uterine tenderness,3676
blood creatine phosphokinase abnormal,3677
implant site swelling,3678
pseudocyst,3679
acute hepatic failure,3680
corneal transplant,3681
progesterone decreased,3682
corneal epithelium defect,3683
osteocalcin decreased,3684
red blood cells semen,3685
onychoclasis,3686
renal colic,3687
bilevel positive airway pressure,3688
application site discomfort,3689
lymphadenitis bacterial,3690
spinocerebellar disorder,3691
amimia,3692
white blood cell morphology abnormal,3693
stasis syndrome,3694
porphyrins urine abnormal,3695
neutropenia neonatal,3696
right aortic arch,3697
porokeratosis,3698
ovarian cancer,3699
metastatic salivary gland cancer,3700
vocal cord inflammation,3701
lung neoplasm malignant,3702
hair texture abnormal,3703
rectal obstruction,3704
iron binding capacity unsaturated decreased,3705
gastrointestinal arteriovenous malformation,3706
back pain,3707
blood urea increased,3708
gastric lavage,3709
bronchial wall thickening,3710
respiratory moniliasis,3711
cardiac function test abnormal,3712
acute coronary syndrome,3713
anti-hbs antibody positive,3714
low cardiac output syndrome,3715
adnexa uteri mass,3716
pulmonary sarcoidosis,3717
biliary fistula,3718
ovarian fibroma,3719
dementia with lewy bodies,3720
semen viscosity,3721
leukostasis,3722
bilirubin urine,3723
lung carcinoma cell type unspecified stage ii,3724
allergic conditions,3725
pharyngotonsillitis,3726
congenital corneal anomaly,3727
vulval disorder,3728
stem cell transplant,3729
congenital diaphragmatic anomaly,3730
lung operation,3731
excoriation,3732
treatment failure,3733
hyperparathyroidism tertiary,3734
scrotal haematocoele,3735
implant site effusion,3736
rheumatoid factor increased,3737
herpes simplex visceral,3738
intracardiac thrombus,3739
hyponatraemia,3740
cardioactive drug level,3741
vascular access complication,3742
laryngeal operation,3743
cardiac disease,3744
complications of transplanted liver,3745
acute chest syndrome,3746
laxative abuse,3747
t-cell lymphoma stage iv,3748
neural tube defect,3749
aphasia,3750
urine protein/creatinine ratio abnormal,3751
red man syndrome,3752
corneal staining,3753
eye laser surgery,3754
eczema impetiginous,3755
primary mediastinal large b-cell lymphoma,3756
congenital hip deformity,3757
tri-iodothyronine decreased,3758
enterectomy,3759
caesarean section,3760
polyp colorectal,3761
premature ageing,3762
ultrasound breast abnormal,3763
osteopenia,3764
epidural anaesthesia,3765
diabetic encephalopathy,3766
abnormal mammogram,3767
cotard's syndrome,3768
hyperkinetic heart syndrome,3769
ovarian rupture,3770
blepharopachynsis,3771
erection increased,3772
alopecia scarring,3773
myocarditis mycotic,3774
habitual abortion,3775
porphyria acute,3776
migraine without aura,3777
hyperbilirubinaemia,3778
pneumonia herpes viral,3779
limb deformity,3780
urinary tract malformation,3781
respiratory sighs,3782
delusion,3783
iliac vein thrombosis,3784
hairy cell leukaemia,3785
urticaria localised,3786
vena cava injury,3787
hepatobiliary scan,3788
joint hyperextension,3789
alcoholism,3790
bone infarction,3791
ph urine decreased,3792
